Name,Path,Descr.,%-T,%-#,Count/mL
P1,P1,,99.83,99.83,1.16E+06
P2,P1\P2,,95.04,95.2,1.10E+06
LL3,P1\P2\LL3,,0.08,0.08,930
UL3,P1\P2\UL3,,50.93,53.59,5.92E+05
UR3,P1\P2\UR3,,0.46,0.49,5.40E+03
LR3,P1\P2\LR3,,43.56,45.83,5.06E+05
LL4,P1\P2\LL4,,43.67,45.95,5.08E+05
UL4,P1\P2\UL4,,51.37,54.05,5.97E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,43.41,45.68,5.05E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,51.62,54.32,6.00E+05
cm2015-08-16.017,cm2015-08-16.017,,100,---,6.09E+05
P1,P1,,95.86,95.86,5.83E+05
P2,P1\P2,,93.58,97.62,5.70E+05
LL3,P1\P2\LL3,,0.16,0.17,946
UL3,P1\P2\UL3,,45.85,49,2.79E+05
UR3,P1\P2\UR3,,0.23,0.24,1.38E+03
LR3,P1\P2\LR3,,47.35,50.6,2.88E+05
LL4,P1\P2\LL4,,47.54,50.8,2.89E+05
UL4,P1\P2\UL4,,46.04,49.2,2.80E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,47.3,50.55,2.88E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,46.27,49.45,2.82E+05
cm2015-08-16.016,cm2015-08-16.016,,100,---,7.85E+05
P1,P1,,89.79,89.79,7.05E+05
P2,P1\P2,,86.48,96.31,6.79E+05
LL3,P1\P2\LL3,,0.13,0.15,1.04E+03
UL3,P1\P2\UL3,,45.11,52.17,3.54E+05
UR3,P1\P2\UR3,,0.31,0.36,2.45E+03
LR3,P1\P2\LR3,,40.92,47.32,3.21E+05
LL4,P1\P2\LL4,,41.11,47.54,3.23E+05
UL4,P1\P2\UL4,,45.36,52.46,3.56E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,40.95,47.36,3.21E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.01,40.2
LR5,P1\P2\LR5,,45.52,52.64,3.57E+05
cm2015-08-16.015,cm2015-08-16.015,,100,---,7.22E+05
P1,P1,,96.2,96.2,6.94E+05
P2,P1\P2,,92.72,96.38,6.69E+05
LL3,P1\P2\LL3,,1.19,1.28,8.55E+03
UL3,P1\P2\UL3,,28.43,30.66,2.05E+05
UR3,P1\P2\UR3,,0.24,0.26,1.73E+03
LR3,P1\P2\LR3,,62.87,67.81,4.54E+05
LL4,P1\P2\LL4,,64.08,69.12,4.62E+05
UL4,P1\P2\UL4,,28.64,30.88,2.07E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,63.95,68.97,4.62E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.02,0.02,130
LR5,P1\P2\LR5,,28.75,31.01,2.07E+05
cm2015-08-16.014,cm2015-08-16.014,,100,---,3.91E+04
P1,P1,,1.25,1.25,489
P2,P1\P2,,1.25,100,489
LL3,P1\P2\LL3,,0.42,33.33,163
UL3,P1\P2\UL3,,0.21,16.67,81.5
UR3,P1\P2\UR3,,0,0,0
LR3,P1\P2\LR3,,0.62,50,244
LL4,P1\P2\LL4,,1.04,83.33,407
UL4,P1\P2\UL4,,0.21,16.67,81.5
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,1.04,83.33,407
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,0.21,16.67,81.5
cm2015-08-16.013,cm2015-08-16.013,,100,---,5.91E+05
P1,P1,,95.82,95.82,5.67E+05
P2,P1\P2,,93.37,97.44,5.52E+05
LL3,P1\P2\LL3,,0.16,0.17,930
UL3,P1\P2\UL3,,46.28,49.56,2.74E+05
UR3,P1\P2\UR3,,0.39,0.42,2.32E+03
LR3,P1\P2\LR3,,46.54,49.85,2.75E+05
LL4,P1\P2\LL4,,46.73,50.05,2.76E+05
UL4,P1\P2\UL4,,46.63,49.95,2.76E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,46.41,49.71,2.74E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,46.96,50.29,2.78E+05
cm2015-08-16.012,cm2015-08-16.012,,100,---,7.19E+05
P1,P1,,96.3,96.3,6.92E+05
P2,P1\P2,,92.82,96.38,6.67E+05
LL3,P1\P2\LL3,,0.71,0.76,5.10E+03
UL3,P1\P2\UL3,,0.04,0.04,261
UR3,P1\P2\UR3,,0,0,0
LR3,P1\P2\LR3,,92.07,99.2,6.62E+05
LL4,P1\P2\LL4,,92.78,99.96,6.67E+05
UL4,P1\P2\UL4,,0.04,0.04,261
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,92.71,99.88,6.66E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,0.11,0.12,784
cm2015-08-16.011,cm2015-08-16.011,,100,---,1.23E+06
P1,P1,,99.84,99.84,1.23E+06
P2,P1\P2,,94.84,94.99,1.17E+06
LL3,P1\P2\LL3,,0.01,0.01,123
UL3,P1\P2\UL3,,94.79,99.95,1.17E+06
UR3,P1\P2\UR3,,0,0,0
LR3,P1\P2\LR3,,0.03,0.04,432
LL4,P1\P2\LL4,,0.04,0.05,555
UL4,P1\P2\UL4,,94.79,99.95,1.17E+06
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,0.03,0.04,432
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,94.8,99.96,1.17E+06
cm2015-08-16.010,cm2015-08-16.010,,100,---,1.11E+06
P1,P1,,99.8,99.8,1.11E+06
P2,P1\P2,,94.78,94.97,1.05E+06
LL3,P1\P2\LL3,,0.1,0.11,1.11E+03
UL3,P1\P2\UL3,,66.44,70.09,7.39E+05
UR3,P1\P2\UR3,,0.28,0.3,3.11E+03
LR3,P1\P2\LR3,,27.97,29.51,3.11E+05
LL4,P1\P2\LL4,,28.11,29.66,3.13E+05
UL4,P1\P2\UL4,,66.67,70.34,7.42E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,28.02,29.56,3.12E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.01,55.6
LR5,P1\P2\LR5,,66.77,70.44,7.43E+05
cm2015-08-16.009,cm2015-08-16.009,,100,---,6.53E+05
P1,P1,,96.2,96.2,6.28E+05
P2,P1\P2,,93.8,97.51,6.12E+05
LL3,P1\P2\LL3,,0.13,0.14,867
UL3,P1\P2\UL3,,52.33,55.78,3.42E+05
UR3,P1\P2\UR3,,0.37,0.39,2.40E+03
LR3,P1\P2\LR3,,40.98,43.69,2.67E+05
LL4,P1\P2\LL4,,41.14,43.85,2.69E+05
UL4,P1\P2\UL4,,52.67,56.15,3.44E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,40.98,43.69,2.68E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,52.82,56.31,3.45E+05
cm2015-08-16.008,cm2015-08-16.008,,100,---,1.30E+06
P1,P1,,99.88,99.88,1.30E+06
P2,P1\P2,,95.53,95.65,1.24E+06
LL3,P1\P2\LL3,,0.07,0.07,912
UL3,P1\P2\UL3,,50.82,53.2,6.62E+05
UR3,P1\P2\UR3,,0.48,0.5,6.25E+03
LR3,P1\P2\LR3,,44.16,46.23,5.75E+05
LL4,P1\P2\LL4,,44.32,46.4,5.77E+05
UL4,P1\P2\UL4,,51.2,53.6,6.67E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,44.03,46.09,5.74E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.01,65.1
LR5,P1\P2\LR5,,51.5,53.9,6.71E+05
cm2015-08-16.007,cm2015-08-16.007,,100,---,6.97E+05
P1,P1,,87.68,87.68,6.11E+05
P2,P1\P2,,84.96,96.9,5.92E+05
LL3,P1\P2\LL3,,0.08,0.09,562
UL3,P1\P2\UL3,,50.13,59.01,3.49E+05
UR3,P1\P2\UR3,,0.17,0.2,1.21E+03
LR3,P1\P2\LR3,,34.57,40.69,2.41E+05
LL4,P1\P2\LL4,,34.67,40.81,2.42E+05
UL4,P1\P2\UL4,,50.28,59.19,3.50E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
