"","replicate","epoch","pool","treatment","name","percent_cells","Count.mL","Count"
"353","rep2",4,"red vs green","ura","unstained",3.75,12100,1211
"354","rep2",4,"plastic vs P2","ura","unstained",0.05,210,21
"355","rep2",4,"plastic vs P1","ura","unstained",0.01,30,3
"356","rep2",4,"plastic vs P1","FOA","unstained",0.03,140,14
"357","rep2",4,"red vs green","FOA","unstained",5.78,22600,2262
"358","rep2",4,"plastic vs P2","FOA","unstained",0.04,150,15
"359","rep2",4,"red vs green","ura","GFP",44.31,143000,14315
"360","rep2",4,"red vs green","FOA","GFP",51.35,201000,20090
"361","rep2",4,"plastic vs P2","ura","GFP",0.06,260,26
"362","rep2",4,"plastic vs P2","FOA","GFP",0,0,0
"363","rep2",4,"plastic vs P1","ura","GFP",0,0,0
"364","rep2",4,"plastic vs P1","FOA","GFP",0,0,0
"365","rep2",4,"plastic vs P2","ura","mCherry",99.88,409000,40858
"366","rep2",4,"plastic vs P1","ura","mCherry",99.99,390000,38988
"367","rep2",4,"plastic vs P1","FOA","mCherry",99.97,448000,44732
"368","rep2",4,"red vs green","FOA","mCherry",42.73,167000,16717
"369","rep2",4,"plastic vs P2","FOA","mCherry",99.96,373000,37272
"370","rep2",4,"red vs green","ura","mCherry",51.78,167000,16729
"371","rep2",4,"plastic vs P2","ura","mCherry/GFP",0,10,1
"372","rep2",4,"red vs green","ura","mCherry/GFP",0.16,511,51
"373","rep2",4,"plastic vs P1","FOA","mCherry/GFP",0,0,0
"374","rep2",4,"red vs green","FOA","mCherry/GFP",0.13,511,51
"375","rep2",4,"plastic vs P2","FOA","mCherry/GFP",0,0,0
"376","rep2",4,"plastic vs P1","ura","mCherry/GFP",0,0,0
"392","rep3",2,"plastic vs P1","ura","cells",97.82,722000,71533
"393","rep3",2,"red vs green","FOA","cells",98.77,372000,37209
"394","rep3",2,"plastic vs P2","FOA","cells",98.95,379000,37898
"395","rep3",2,"plastic vs P1","FOA","cells",98.89,328000,32719
"396","rep3",2,"plastic vs P2","ura","cells",98.88,379000,37883
"397","rep3",2,"red vs green","ura","cells",98.54,476000,47596
"398","rep3",2,"red vs green","ura","unstained",8.54,40700,4065
"399","rep3",2,"plastic vs P2","ura","unstained",0.01,30,3
"400","rep3",2,"plastic vs P1","ura","unstained",33.73,244000,24129
"401","rep3",2,"plastic vs P1","FOA","unstained",0.01,40,4
"402","rep3",2,"red vs green","FOA","unstained",4.62,17200,1719
"403","rep3",2,"plastic vs P2","FOA","unstained",22.63,85900,8578
"404","rep3",2,"red vs green","ura","GFP",39.02,186000,18573
"405","rep3",2,"red vs green","FOA","GFP",51.55,192000,19183
"406","rep3",2,"plastic vs P2","ura","GFP",0.01,20,2
"407","rep3",2,"plastic vs P2","FOA","GFP",72.63,276000,27526
"408","rep3",2,"plastic vs P1","ura","GFP",50.85,367000,36376
"409","rep3",2,"plastic vs P1","FOA","GFP",0,0,0
"410","rep3",2,"plastic vs P2","ura","mCherry",99.99,379000,37878
"411","rep3",2,"plastic vs P1","ura","mCherry",15.32,111000,10960
"412","rep3",2,"plastic vs P1","FOA","mCherry",99.99,327000,32715
"413","rep3",2,"red vs green","FOA","mCherry",43.67,163000,16250
"414","rep3",2,"plastic vs P2","FOA","mCherry",4.7,17800,1783
"415","rep3",2,"red vs green","ura","mCherry",52.3,249000,24893
"416","rep3",2,"plastic vs P2","ura","mCherry/GFP",0,0,0
"417","rep3",2,"red vs green","ura","mCherry/GFP",0.14,651,65
"418","rep3",2,"plastic vs P1","FOA","mCherry/GFP",0,0,0
"419","rep3",2,"red vs green","FOA","mCherry/GFP",0.15,571,57
"420","rep3",2,"plastic vs P2","FOA","mCherry/GFP",0.03,110,11
"421","rep3",2,"plastic vs P1","ura","mCherry/GFP",0.1,686,68
"422","rep3",3,"plastic vs P1","ura","cells",98.9,341000,34017
"423","rep3",3,"red vs green","FOA","cells",98.4,423000,42242
"424","rep3",3,"plastic vs P2","FOA","cells",98.8,322000,32142
"425","rep3",3,"plastic vs P1","FOA","cells",98.53,403000,40251
"426","rep3",3,"plastic vs P2","ura","cells",98.71,335000,33466
"427","rep3",3,"red vs green","ura","cells",98.61,336000,33636
"428","rep3",3,"red vs green","ura","unstained",10.42,35000,3505
"429","rep3",3,"plastic vs P2","ura","unstained",0.05,160,16
"430","rep3",3,"plastic vs P1","ura","unstained",0.04,120,12
"431","rep3",3,"plastic vs P1","FOA","unstained",0.05,190,19
"432","rep3",3,"red vs green","FOA","unstained",17.17,72600,7254
